20,999,999,999,999
10,21,999,999,999
10,11,22,999,999
11,12,23,999,999
15,12,13,24,999
5,16,13,14,999
5,6,17,14,999
6,7,18,999,999
0,7,8,19,999
5,1,8,9,999
10,6,2,9,999
15,11,7,3,999
16,12,8,4,999
20,17,13,9,999
20,21,18,14,999
20,21,22,19,999
21,22,23,999,999
20,22,23,24,999
10,21,23,24,999
10,11,22,24,999
10,11,12,23,999
11,12,13,24,999
15,12,13,14,999
5,16,13,14,999
5,6,17,14,999
6,7,18,999,999
0,7,8,19,999
10,1,8,9,999
20,11,2,9,999
20,21,12,3,999
21,22,13,4,999
10,22,23,14,999
10,11,23,24,999
10,11,12,24,999
11,12,13,999,999
5,12,13,14,999
5,6,13,14,999
5,6,7,14,999
5,6,7,8,999
6,7,8,9,999
5,7,8,9,999
10,6,8,9,999
15,11,7,9,999
16,12,8,999,999
10,9,13,17,999
10,11,18,14,999
10,11,12,19,999
10,11,12,13,999
11,12,13,14,999
10,12,13,14,999
15,11,13,14,999
20,16,12,14,999
21,17,13,999,999
20,22,18,14,999
10,21,23,19,999
10,11,22,24,999
11,12,23,999,999
15,12,13,24,999
5,16,13,14,999
5,6,17,14,999
6,7,18,999,999
0,7,8,19,999
10,1,8,9,999
20,11,2,9,999
20,21,12,3,999
21,22,13,4,999
10,22,23,14,999
10,11,23,24,999
10,11,12,24,999
11,12,13,999,999
12,13,14,999,999
13,14,999,999,999
14,999,999,999,999
